REQUEST_ID,ACTIVITY,START_DATE,END_DATE,CE_UO,ROLE,AUTOMATIC,CLOSURE_TYPE,CLOSURE_REASON,WORKING_STATE,CE_STATE,GENERAL_STATE
201811001881,ACTIVITY 9,2018-11-07 09:15:42.000,2018-11-07 09:18:42.000,CE_UO 103,DIRECTOR,HUMAN,Client Recess,1 - Client lost,Completed,S005,Conclusa regolarmente
201811001881,ACTIVITY 10,2018-11-13 14:52:05.000,2018-11-13 14:52:38.000,CE_UO 103,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S010,Conclusa regolarmente
201811001881,ACTIVITY 2,2018-11-13 14:52:38.000,2018-11-16 10:11:42.000,CE_UO 1,BACK-OFFICE,HUMAN,Client Recess,1 - Client lost,Completed,S040,Conclusa regolarmente
201812006190,ACTIVITY 8,2018-12-17 15:20:32.000,2018-12-17 15:20:46.000,CE_UO 408,APPLICANT,HUMAN,Client Recess,,Completed,S000,Conclusa regolarmente
201812006190,ACTIVITY 2,2018-12-17 15:20:46.000,2018-12-17 15:21:18.000,CE_UO 11,BACK-OFFICE,HUMAN,Client Recess,,Completed,S040,Conclusa regolarmente
201812006190,ACTIVITY 1,2018-12-17 15:21:18.000,2018-12-17 15:22:54.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S050,Conclusa regolarmente
201812006190,ACTIVITY 6,2018-12-17 15:22:54.000,2018-12-19 03:26:26.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S051,Conclusa regolarmente
201812006190,ACTIVITY 11,2018-12-19 03:26:26.000,2018-12-19 16:30:42.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S055,Conclusa regolarmente
201810006659,ACTIVITY 8,2018-10-17 16:08:07.000,2018-10-17 16:09:05.000,CE_UO 205,APPLICANT,HUMAN,Client Recess,,Completed,S000,Conclusa regolarmente
201810006659,ACTIVITY 2,2018-10-17 16:09:05.000,2018-10-17 16:09:35.000,CE_UO 11,BACK-OFFICE,HUMAN,Client Recess,,Completed,S040,Conclusa regolarmente
201810006659,ACTIVITY 1,2018-10-17 16:09:35.000,2018-10-17 16:11:20.000,CE_UO 228,BACK-OFFICE,HUMAN,Client Recess,,Completed,S050,Conclusa regolarmente
201811001422,ACTIVITY 8,2018-11-06 10:54:44.000,2018-11-06 10:56:35.000,CE_UO 295,APPLICANT,HUMAN,Porting,,Completed,S000,Conclusa regolarmente
201811001422,ACTIVITY 15,2018-11-06 10:56:35.000,2018-11-19 11:41:56.000,CE_UO 432,APPLICANT,HUMAN,Porting,,Completed,S031,Conclusa regolarmente
201811001422,ACTIVITY 1,2018-11-19 11:41:56.000,2018-11-19 11:42:53.000,CE_UO 432,BACK-OFFICE,HUMAN,Porting,,Completed,S050,Conclusa regolarmente
201811001422,ACTIVITY 6,2018-11-19 11:42:53.000,2018-11-21 03:12:37.000,CE_UO 432,BACK-OFFICE,HUMAN,Porting,,Completed,S051,Conclusa regolarmente
201810003451,ACTIVITY 8,2018-10-09 16:11:04.000,2018-10-09 16:13:29.000,CE_UO 270,APPLICANT,HUMAN,Client Recess,1 - Client lost,Completed,S000,Conclusa regolarmente
